Date,Close,High,Low,Open,Volume
18-10-2016,2820,2820,2820,2820,0
19-10-2016,2790,2790,2790,2790,1
20-10-2016,2790,2790,2790,2790,0
21-10-2016,2790,2790,2790,2790,0
24-10-2016,2790,2790,2790,2790,0
25-10-2016,2790,2790,2790,2790,1
26-10-2016,2790,2790,2790,2790,0
27-10-2016,2790,2790,2790,2790,0
28-10-2016,2860,2939,2860,2860,21
01-11-2016,2756.75,2756.75,2756.75,2756.75,3
02-11-2016,2756.75,2756.75,2756.75,2756.75,0
03-11-2016,2757,2757,2757,2757,3
04-11-2016,2840,2841,2786,2786,30
07-11-2016,2781,2925,2774.149902,2925,15
08-11-2016,2781,2781,2781,2781,0
09-11-2016,2751,2751,2751,2751,1
10-11-2016,2775.199951,2973.98999,2771.01001,2973.98999,16
11-11-2016,2775.199951,2775.199951,2775.199951,2775.199951,0
15-11-2016,2750,2750,2750,2750,1
16-11-2016,2818,2818,2720,2720,4
17-11-2016,2711.5,2711.5,2711.5,2711.5,9
18-11-2016,2711.5,2711.5,2711.5,2711.5,0
21-11-2016,2684,2690,2650,2690,10
22-11-2016,2684,2684,2684,2684,0
23-11-2016,2684,2684,2684,2684,0
24-11-2016,2684,2684,2684,2684,0
25-11-2016,2684,2684,2684,2684,0
28-11-2016,2684,2684,2684,2684,0
29-11-2016,2684,2684,2684,2684,0
30-11-2016,2621.01001,2621.01001,2621.01001,2621.01001,2
01-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
02-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
05-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
06-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
07-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
08-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
09-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
12-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
13-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
14-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
15-12-2016,2621.01001,2621.01001,2621.01001,2621.01001,0
16-12-2016,2487.100098,2487.100098,2487.100098,2487.100098,1
19-12-2016,2680,2680,2680,2680,10
20-12-2016,2680,2680,2680,2680,0
21-12-2016,2680,2680,2680,2680,0
22-12-2016,2500,2545,2499,2545,11
