ds,Open,Volume,Close,Close_Lag1,MA7
2021-02-22,4366.592730906671,27.562292271677567,4357.090682815376,4358.509203449437,4360.159231869404
2021-02-23,4363.950987339012,30.992112344102814,4353.732138248879,4357.090682815376,4358.465057875573
2021-02-24,4362.191548569788,25.165130372544482,4353.145873080673,4353.732138248879,4356.912981958524
2021-02-25,4358.706768998709,29.40784283949354,4348.586342199837,4353.145873080673,4355.200246570668
2021-02-26,4356.341567748708,29.013413215551317,4351.6092845754165,4348.586342199837,4354.009675213315
2021-03-01,4358.481661401396,29.185650564792223,4349.20587528016,4351.6092845754165,4353.125628521397
2021-03-02,4355.186886391148,32.630780275436805,4345.227841378853,4349.20587528016,4351.228291082742
2021-03-03,4352.629085082422,26.765075311650392,4343.861172754367,4345.227841378853,4349.338361074027
2021-03-04,4348.196709442442,30.909488400438903,4338.359967000154,4343.861172754367,4347.1423366099225
2021-03-05,4344.736775033385,30.353541370987934,4340.286223989901,4338.359967000154,4345.30524388267
2021-03-08,4342.828722728826,29.657302983148025,4333.828771833788,4340.286223989901,4343.197019544663
2021-03-09,4338.002928384859,32.694507912134526,4328.333970651701,4333.828771833788,4339.871974698418
2021-03-10,4333.875848636377,26.37189212638009,4325.428055516297,4328.333970651701,4336.47514330358
2021-03-12,4322.895551912059,28.9380139776351,4318.887568636466,4325.428055516297,4332.712247197525
2021-03-15,4317.202342623398,26.620582114355024,4309.02002375659,4318.887568636466,4327.734940197843
2021-03-16,4311.546032340368,29.14978404586489,4302.873351719992,4309.02002375659,4322.665423729248
2021-03-17,4306.888676688673,22.359640478187394,4299.640534297275,4302.873351719992,4316.8588966303005
2021-03-18,4300.705616090515,25.594383151513696,4292.663588811168,4299.640534297275,4310.978156198498
2021-03-19,4295.930623528788,24.167661230491536,4293.590574263128,4292.663588811168,4306.014813857273
2021-03-22,4293.504701321663,21.332115071321553,4287.774005988152,4293.590574263128,4300.6356639246815
2021-03-23,4289.8843511758905,23.888372903911943,4283.921575010992,4287.774005988152,4295.6405219781855
2021-03-24,4287.74336184629,17.233089168205158,4283.450267212981,4283.921575010992,4291.987699614813
2021-03-25,4284.545000668916,20.71140484080504,4279.682784334762,4283.450267212981,4288.674761416923
2021-03-26,4283.199648150494,19.63517164207459,4284.236690610136,4279.682784334762,4286.47421231876
2021-03-30,4294.467331074675,21.69810200689472,4292.270888897831,4284.236690610136,4286.41811233114
2021-03-31,4297.252243235014,15.809954285235843,4296.698579233521,4292.270888897831,4286.862113041197
2021-04-01,4299.068767868448,20.099496768929534,4297.863441031342,4296.698579233521,4288.303460904509
2021-04-05,4327.049242422008,21.159445561239526,4327.834418970382,4297.863441031342,4294.576724327279
2021-04-06,4332.319278060912,25.19020582633805,4332.554793061235,4327.834418970382,4301.591656591316
2021-04-07,4338.800605719191,20.007596267416563,4340.29508985027,4332.554793061235,4310.250557379245
2021-04-08,4343.799400619713,24.925720626729767,4344.225878185554,4340.29508985027,4318.82044131859
2021-04-09,4350.072066275106,25.225851316627775,4355.817950408285,4344.225878185554,4327.898592962941
2021-04-12,4378.161621162816,27.490405386347806,4378.756465993873,4355.817950408285,4339.62114821442
2021-04-13,4383.239882160059,31.605991085850256,4382.836393175833,4378.756465993873,4351.760141377918
2021-04-15,4392.097418651518,31.145118010920978,4391.060541782402,4382.836393175833,4360.792444636779
2021-04-16,4395.968730796244,31.170652693991112,4399.892438488181,4391.060541782402,4370.412108269199
2021-04-19,4412.95684632997,32.00066708911806,4410.94883691473,4399.892438488181,4380.50550070698
2021-04-20,4413.2353554222045,35.474022852836015,4410.083424618642,4410.94883691473,4389.913721625992
2021-04-22,4411.306745128568,33.57140628692935,4407.416500834073,4410.083424618642,4397.284943115391
2021-04-23,4409.37006685221,32.83070211827373,4410.480652292765,4407.416500834073,4401.816969729518
2021-04-26,4408.40501952949,31.384110066802535,4404.0426074198085,4410.480652292765,4404.846428907229
2021-04-27,4402.833263014467,34.15956663558734,4397.575786398198,4404.0426074198085,4405.777178138057
2021-04-28,4397.511811981574,27.59554053368165,4393.288153897754,4397.575786398198,4404.833708910853
2021-04-29,4389.918278598696,31.036263875495205,4384.5231979827795,4393.288153897754,4401.05861763486
2021-04-30,4382.990567117316,29.794516074602388,4382.932001111833,4384.5231979827795,4397.179842848173
2021-05-03,4380.310673022531,27.279945485038013,4375.534020438776,4382.932001111833,4392.625202791702
2021-05-04,4375.165228913454,29.88226954213701,4369.730185706243,4375.534020438776,4386.803707565055
2021-05-05,4370.792576501403,23.235063674622815,4366.60780733425,4369.730185706243,4381.455878981405
2021-05-06,4364.6652239734385,26.67821089697557,4359.498773040888,4366.60780733425,4376.016305644646
2021-05-07,4359.703789525027,25.51807537467316,4360.031388410238,4359.498773040888,4371.265339146429
2021-05-10,4354.99033717267,23.719655083265447,4351.132738889401,4360.031388410238,4366.495273561661
2021-05-11,4349.898945949533,26.65305031215958,4345.477657682075,4351.132738889401,4361.144653071696
2021-05-12,4345.851274841747,20.36312301985754,4342.733696672937,4345.477657682075,4356.458892533718
2021-05-14,4335.970905940361,23.39024852484927,4337.357863299295,4342.733696672937,4351.834275047012
2021-05-17,4333.516266909266,22.61251651673394,4330.480219551252,4337.357863299295,4346.673191078013
2021-05-18,4329.0655751532895,25.822929191975717,4325.347745900498,4330.480219551252,4341.7944729150995
2021-05-19,4325.523251792938,19.766955629462796,4322.98185739123,4325.347745900498,4336.501682769527
